Node: gpu001.aire.lee.alces.network
CUDA devices:
Thu Feb 12 11:54:06 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 560.35.03              Driver Version: 560.35.03      CUDA Version: 12.6     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA L40S                    On  |   00000000:C4:00.0 Off |                    0 |
| N/A   35C    P8             34W /  350W |       1MiB /  46068MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
[1015/2200] Done: Predicted=PHISHING
[1016/2200] Done: Predicted=LEGITIMATE
[1017/2200] Done: Predicted=PHISHING
[1018/2200] Done: Predicted=LEGITIMATE
[1019/2200] Done: Predicted=PHISHING
[1020/2200] Done: Predicted=PHISHING
[1021/2200] Done: Predicted=PHISHING
[1022/2200] Done: Predicted=LEGITIMATE
[1023/2200] Done: Predicted=PHISHING
[1024/2200] Done: Predicted=LEGITIMATE
[1025/2200] Done: Predicted=LEGITIMATE
[1026/2200] Done: Predicted=PHISHING
[1027/2200] Done: Predicted=PHISHING
[1028/2200] Done: Predicted=LEGITIMATE
[1029/2200] Done: Predicted=None
[1030/2200] Done: Predicted=LEGITIMATE
[1031/2200] Done: Predicted=LEGITIMATE
[1032/2200] Done: Predicted=LEGITIMATE
[1033/2200] Done: Predicted=PHISHING
[1034/2200] Done: Predicted=PHISHING
[1035/2200] Done: Predicted=LEGITIMATE
[1036/2200] Done: Predicted=PHISHING
[1037/2200] Done: Predicted=PHISHING
[1038/2200] Done: Predicted=PHISHING
[1039/2200] Done: Predicted=PHISHING
[1040/2200] Done: Predicted=PHISHING
[1041/2200] Done: Predicted=PHISHING
[1042/2200] Done: Predicted=PHISHING
[1043/2200] Done: Predicted=PHISHING
[1044/2200] Done: Predicted=LEGITIMATE
[1045/2200] Done: Predicted=LEGITIMATE
[1046/2200] Done: Predicted=LEGITIMATE
[1047/2200] Done: Predicted=PHISHING
[1048/2200] Done: Predicted=PHISHING
[1049/2200] Done: Predicted=LEGITIMATE
[1050/2200] Done: Predicted=LEGITIMATE
[1051/2200] Done: Predicted=PHISHING
[1052/2200] Done: Predicted=LEGITIMATE
[1053/2200] Done: Predicted=PHISHING
[1054/2200] Done: Predicted=LEGITIMATE
[1055/2200] Done: Predicted=LEGITIMATE
[1056/2200] Done: Predicted=LEGITIMATE
[1057/2200] Done: Predicted=LEGITIMATE
[1058/2200] Done: Predicted=PHISHING
[1059/2200] Done: Predicted=LEGITIMATE
[1060/2200] Done: Predicted=LEGITIMATE
[1061/2200] Done: Predicted=LEGITIMATE
[1062/2200] Done: Predicted=PHISHING
[1063/2200] Done: Predicted=PHISHING
[1064/2200] Done: Predicted=PHISHING
[1065/2200] Done: Predicted=PHISHING
[1066/2200] Done: Predicted=PHISHING
[1067/2200] Done: Predicted=PHISHING
[1068/2200] Done: Predicted=LEGITIMATE
[1069/2200] Done: Predicted=LEGITIMATE
[1070/2200] Done: Predicted=PHISHING
[1071/2200] Done: Predicted=PHISHING
[1072/2200] Done: Predicted=PHISHING
[1073/2200] Done: Predicted=PHISHING
[1074/2200] Done: Predicted=LEGITIMATE
[1075/2200] Done: Predicted=PHISHING
[1076/2200] Done: Predicted=LEGITIMATE
[1077/2200] Done: Predicted=LEGITIMATE
[1078/2200] Done: Predicted=PHISHING
[1079/2200] Done: Predicted=PHISHING
[1080/2200] Done: Predicted=LEGITIMATE
[1081/2200] Done: Predicted=LEGITIMATE
[1082/2200] Done: Predicted=LEGITIMATE
[1083/2200] Done: Predicted=PHISHING
[1084/2200] Done: Predicted=LEGITIMATE
[1085/2200] Done: Predicted=PHISHING
[1086/2200] Done: Predicted=LEGITIMATE
[1087/2200] Done: Predicted=LEGITIMATE
[1088/2200] Done: Predicted=PHISHING
[1089/2200] Done: Predicted=PHISHING
[1090/2200] Done: Predicted=PHISHING
[1091/2200] Done: Predicted=PHISHING
[1092/2200] Done: Predicted=PHISHING
[1093/2200] Done: Predicted=PHISHING
[1094/2200] Done: Predicted=LEGITIMATE
[1095/2200] Done: Predicted=LEGITIMATE
[1096/2200] Done: Predicted=PHISHING
[1097/2200] Done: Predicted=PHISHING
[1098/2200] Done: Predicted=LEGITIMATE
[1099/2200] Done: Predicted=LEGITIMATE
[1100/2200] Done: Predicted=LEGITIMATE
[1101/2200] Done: Predicted=PHISHING
[1102/2200] Done: Predicted=PHISHING
[1103/2200] Done: Predicted=LEGITIMATE
[1104/2200] Done: Predicted=PHISHING
[1105/2200] Done: Predicted=PHISHING
[1106/2200] Done: Predicted=PHISHING
[1107/2200] Done: Predicted=PHISHING
[1108/2200] Done: Predicted=PHISHING
[1109/2200] Done: Predicted=PHISHING
[1110/2200] Done: Predicted=LEGITIMATE
[1111/2200] Done: Predicted=LEGITIMATE
[1112/2200] Done: Predicted=PHISHING
[1113/2200] Done: Predicted=PHISHING
[1114/2200] Done: Predicted=PHISHING
[1115/2200] Done: Predicted=LEGITIMATE
[1116/2200] Done: Predicted=LEGITIMATE
[1117/2200] Done: Predicted=PHISHING
[1118/2200] Done: Predicted=PHISHING
[1119/2200] Done: Predicted=LEGITIMATE
[1120/2200] Done: Predicted=PHISHING
[1121/2200] Done: Predicted=LEGITIMATE
[1122/2200] Done: Predicted=PHISHING
[1123/2200] Done: Predicted=LEGITIMATE
[1124/2200] Done: Predicted=LEGITIMATE
[1125/2200] Done: Predicted=LEGITIMATE
[1126/2200] Done: Predicted=LEGITIMATE
[1127/2200] Done: Predicted=LEGITIMATE
[1128/2200] Done: Predicted=LEGITIMATE
[1129/2200] Done: Predicted=LEGITIMATE
[1130/2200] Done: Predicted=LEGITIMATE
[1131/2200] Done: Predicted=LEGITIMATE
[1132/2200] Done: Predicted=LEGITIMATE
[1133/2200] Done: Predicted=PHISHING
[1134/2200] Done: Predicted=PHISHING
[1135/2200] Done: Predicted=LEGITIMATE
[1136/2200] Done: Predicted=LEGITIMATE
[1137/2200] Done: Predicted=PHISHING
[1138/2200] Done: Predicted=PHISHING
[1139/2200] Done: Predicted=LEGITIMATE
[1140/2200] Done: Predicted=LEGITIMATE
[1141/2200] Done: Predicted=PHISHING
[1142/2200] Done: Predicted=LEGITIMATE
[1143/2200] Done: Predicted=PHISHING
[1144/2200] Done: Predicted=LEGITIMATE
[1145/2200] Done: Predicted=PHISHING
[1146/2200] Done: Predicted=LEGITIMATE
[1147/2200] Done: Predicted=PHISHING
[1148/2200] Done: Predicted=PHISHING
[1149/2200] Done: Predicted=LEGITIMATE
[1150/2200] Done: Predicted=LEGITIMATE
[1151/2200] Done: Predicted=PHISHING
[1152/2200] Done: Predicted=PHISHING
[1153/2200] Done: Predicted=PHISHING
[1154/2200] Done: Predicted=LEGITIMATE
[1155/2200] Done: Predicted=PHISHING
[1156/2200] Done: Predicted=PHISHING
[1157/2200] Done: Predicted=LEGITIMATE
[1158/2200] Done: Predicted=LEGITIMATE
[1159/2200] Done: Predicted=LEGITIMATE
[1160/2200] Done: Predicted=LEGITIMATE
[1161/2200] Done: Predicted=LEGITIMATE
[1162/2200] Done: Predicted=LEGITIMATE
[1163/2200] Done: Predicted=PHISHING
[1164/2200] Done: Predicted=LEGITIMATE
[1165/2200] Done: Predicted=PHISHING
[1166/2200] Done: Predicted=PHISHING
[1167/2200] Done: Predicted=LEGITIMATE
[1168/2200] Done: Predicted=LEGITIMATE
[1169/2200] Done: Predicted=LEGITIMATE
[1170/2200] Done: Predicted=PHISHING
[1171/2200] Done: Predicted=PHISHING
[1172/2200] Done: Predicted=LEGITIMATE
[1173/2200] Done: Predicted=LEGITIMATE
[1174/2200] Done: Predicted=PHISHING
[1175/2200] Done: Predicted=LEGITIMATE
[1176/2200] Done: Predicted=PHISHING
[1177/2200] Done: Predicted=LEGITIMATE
[1178/2200] Done: Predicted=PHISHING
[1179/2200] Done: Predicted=LEGITIMATE
[1180/2200] Done: Predicted=PHISHING
[1181/2200] Done: Predicted=PHISHING
[1182/2200] Done: Predicted=PHISHING
[1183/2200] Done: Predicted=PHISHING
[1184/2200] Done: Predicted=LEGITIMATE
[1185/2200] Done: Predicted=LEGITIMATE
[1186/2200] Done: Predicted=PHISHING
[1187/2200] Done: Predicted=PHISHING
[1188/2200] Done: Predicted=PHISHING
[1189/2200] Done: Predicted=LEGITIMATE
[1190/2200] Done: Predicted=LEGITIMATE
[1191/2200] Done: Predicted=PHISHING
[1192/2200] Done: Predicted=PHISHING
[1193/2200] Done: Predicted=LEGITIMATE
[1194/2200] Done: Predicted=LEGITIMATE
[1195/2200] Done: Predicted=PHISHING
[1196/2200] Done: Predicted=PHISHING
[1197/2200] Done: Predicted=LEGITIMATE
[1198/2200] Done: Predicted=PHISHING
[1199/2200] Done: Predicted=PHISHING
[1200/2200] Done: Predicted=PHISHING
[1201/2200] Done: Predicted=LEGITIMATE
[1202/2200] Done: Predicted=LEGITIMATE
[1203/2200] Done: Predicted=PHISHING
[1204/2200] Done: Predicted=PHISHING
[1205/2200] Done: Predicted=LEGITIMATE
[1206/2200] Done: Predicted=PHISHING
[1207/2200] Done: Predicted=LEGITIMATE
[1208/2200] Done: Predicted=LEGITIMATE
[1209/2200] Done: Predicted=LEGITIMATE
[1210/2200] Done: Predicted=PHISHING
[1211/2200] Done: Predicted=LEGITIMATE
[1212/2200] Done: Predicted=PHISHING
[1213/2200] Done: Predicted=LEGITIMATE
[1214/2200] Done: Predicted=PHISHING
[1215/2200] Done: Predicted=LEGITIMATE
[1216/2200] Done: Predicted=LEGITIMATE
[1217/2200] Done: Predicted=LEGITIMATE
[1218/2200] Done: Predicted=PHISHING
[1219/2200] Done: Predicted=LEGITIMATE
[1220/2200] Done: Predicted=LEGITIMATE
[1221/2200] Done: Predicted=LEGITIMATE
[1222/2200] Done: Predicted=LEGITIMATE
[1223/2200] Done: Predicted=LEGITIMATE
[1224/2200] Done: Predicted=LEGITIMATE
[1225/2200] Done: Predicted=PHISHING
[1226/2200] Done: Predicted=PHISHING
[1227/2200] Done: Predicted=PHISHING
[1228/2200] Done: Predicted=PHISHING
[1229/2200] Done: Predicted=PHISHING
[1230/2200] Done: Predicted=LEGITIMATE
[1231/2200] Done: Predicted=PHISHING
[1232/2200] Done: Predicted=LEGITIMATE
[1233/2200] Done: Predicted=PHISHING
[1234/2200] Done: Predicted=LEGITIMATE
[1235/2200] Done: Predicted=PHISHING
[1236/2200] Done: Predicted=LEGITIMATE
[1237/2200] Done: Predicted=PHISHING
[1238/2200] Done: Predicted=LEGITIMATE
[1239/2200] Done: Predicted=LEGITIMATE
[1240/2200] Done: Predicted=LEGITIMATE
[1241/2200] Done: Predicted=LEGITIMATE
[1242/2200] Done: Predicted=LEGITIMATE
[1243/2200] Done: Predicted=LEGITIMATE
[1244/2200] Done: Predicted=LEGITIMATE
[1245/2200] Done: Predicted=LEGITIMATE
[1246/2200] Done: Predicted=LEGITIMATE
[1247/2200] Done: Predicted=PHISHING
[1248/2200] Done: Predicted=PHISHING
[1249/2200] Done: Predicted=PHISHING
[1250/2200] Done: Predicted=LEGITIMATE
[1251/2200] Done: Predicted=None
[1252/2200] Done: Predicted=PHISHING
[1253/2200] Done: Predicted=LEGITIMATE
[1254/2200] Done: Predicted=PHISHING
[1255/2200] Done: Predicted=PHISHING
[1256/2200] Done: Predicted=PHISHING
[1257/2200] Done: Predicted=LEGITIMATE
[1258/2200] Done: Predicted=LEGITIMATE
[1259/2200] Done: Predicted=LEGITIMATE
[1260/2200] Done: Predicted=LEGITIMATE
[1261/2200] Done: Predicted=PHISHING
[1262/2200] Done: Predicted=LEGITIMATE
[1263/2200] Done: Predicted=PHISHING
[1264/2200] Done: Predicted=PHISHING
[1265/2200] Done: Predicted=PHISHING
[1266/2200] Done: Predicted=LEGITIMATE
[1267/2200] Done: Predicted=PHISHING
[1268/2200] Done: Predicted=LEGITIMATE
[1269/2200] Done: Predicted=PHISHING
[1270/2200] Done: Predicted=PHISHING
[1271/2200] Done: Predicted=None
[1272/2200] Done: Predicted=PHISHING
[1273/2200] Done: Predicted=LEGITIMATE
[1274/2200] Done: Predicted=LEGITIMATE
[1275/2200] Done: Predicted=PHISHING
[1276/2200] Done: Predicted=LEGITIMATE
[1277/2200] Done: Predicted=LEGITIMATE
[1278/2200] Done: Predicted=PHISHING
[1279/2200] Done: Predicted=PHISHING
[1280/2200] Done: Predicted=LEGITIMATE
[1281/2200] Done: Predicted=PHISHING
[1282/2200] Done: Predicted=PHISHING
[1283/2200] Done: Predicted=LEGITIMATE
[1284/2200] Done: Predicted=PHISHING
[1285/2200] Done: Predicted=LEGITIMATE
[1286/2200] Done: Predicted=LEGITIMATE
[1287/2200] Done: Predicted=PHISHING
[1288/2200] Done: Predicted=PHISHING
[1289/2200] Done: Predicted=PHISHING
[1290/2200] Done: Predicted=LEGITIMATE
[1291/2200] Done: Predicted=PHISHING
[1292/2200] Done: Predicted=PHISHING
[1293/2200] Done: Predicted=LEGITIMATE
[1294/2200] Done: Predicted=PHISHING
[1295/2200] Done: Predicted=PHISHING
[1296/2200] Done: Predicted=PHISHING
[1297/2200] Done: Predicted=PHISHING
[1298/2200] Done: Predicted=LEGITIMATE
[1299/2200] Done: Predicted=LEGITIMATE
[1300/2200] Done: Predicted=LEGITIMATE
[1301/2200] Done: Predicted=PHISHING
[1302/2200] Done: Predicted=PHISHING
[1303/2200] Done: Predicted=LEGITIMATE
[1304/2200] Done: Predicted=LEGITIMATE
[1305/2200] Done: Predicted=LEGITIMATE
[1306/2200] Done: Predicted=LEGITIMATE
[1307/2200] Done: Predicted=LEGITIMATE
[1308/2200] Done: Predicted=PHISHING
[1309/2200] Done: Predicted=LEGITIMATE
[1310/2200] Done: Predicted=LEGITIMATE
[1311/2200] Done: Predicted=LEGITIMATE
[1312/2200] Done: Predicted=PHISHING
[1313/2200] Done: Predicted=LEGITIMATE
[1314/2200] Done: Predicted=PHISHING
[1315/2200] Done: Predicted=LEGITIMATE
[1316/2200] Done: Predicted=PHISHING
[1317/2200] Done: Predicted=LEGITIMATE
[1318/2200] Done: Predicted=PHISHING
[1319/2200] Done: Predicted=PHISHING
[1320/2200] Done: Predicted=LEGITIMATE
[1321/2200] Done: Predicted=LEGITIMATE
[1322/2200] Done: Predicted=LEGITIMATE
[1323/2200] Done: Predicted=PHISHING
[1324/2200] Done: Predicted=PHISHING
[1325/2200] Done: Predicted=LEGITIMATE
[1326/2200] Done: Predicted=LEGITIMATE
[1327/2200] Done: Predicted=PHISHING
[1328/2200] Done: Predicted=LEGITIMATE
[1329/2200] Done: Predicted=LEGITIMATE
[1330/2200] Done: Predicted=LEGITIMATE
[1331/2200] Done: Predicted=LEGITIMATE
[1332/2200] Done: Predicted=PHISHING
[1333/2200] Done: Predicted=PHISHING
[1334/2200] Done: Predicted=PHISHING
[1335/2200] Done: Predicted=LEGITIMATE
[1336/2200] Done: Predicted=PHISHING
[1337/2200] Done: Predicted=LEGITIMATE
[1338/2200] Done: Predicted=LEGITIMATE
[1339/2200] Done: Predicted=PHISHING
[1340/2200] Done: Predicted=LEGITIMATE
[1341/2200] Done: Predicted=PHISHING
[1342/2200] Done: Predicted=PHISHING
[1343/2200] Done: Predicted=PHISHING
[1344/2200] Done: Predicted=LEGITIMATE
[1345/2200] Done: Predicted=PHISHING
[1346/2200] Done: Predicted=PHISHING
[1347/2200] Done: Predicted=PHISHING
[1348/2200] Done: Predicted=PHISHING
[1349/2200] Done: Predicted=LEGITIMATE
[1350/2200] Done: Predicted=LEGITIMATE
[1351/2200] Done: Predicted=LEGITIMATE
[1352/2200] Done: Predicted=PHISHING
[1353/2200] Done: Predicted=LEGITIMATE
[1354/2200] Done: Predicted=LEGITIMATE
[1355/2200] Done: Predicted=LEGITIMATE
[1356/2200] Done: Predicted=PHISHING
[1357/2200] Done: Predicted=PHISHING
[1358/2200] Done: Predicted=LEGITIMATE
[1359/2200] Done: Predicted=PHISHING
[1360/2200] Done: Predicted=LEGITIMATE
[1361/2200] Done: Predicted=PHISHING
[1362/2200] Done: Predicted=PHISHING
[1363/2200] Done: Predicted=PHISHING
[1364/2200] Done: Predicted=LEGITIMATE
[1365/2200] Done: Predicted=PHISHING
[1366/2200] Done: Predicted=LEGITIMATE
[1367/2200] Done: Predicted=PHISHING
[1368/2200] Done: Predicted=PHISHING
[1369/2200] Done: Predicted=PHISHING
[1370/2200] Done: Predicted=LEGITIMATE
[1371/2200] Done: Predicted=PHISHING
[1372/2200] Done: Predicted=LEGITIMATE
[1373/2200] Done: Predicted=PHISHING
[1374/2200] Done: Predicted=LEGITIMATE
[1375/2200] Done: Predicted=PHISHING
[1376/2200] Done: Predicted=LEGITIMATE
[1377/2200] Done: Predicted=LEGITIMATE
[1378/2200] Done: Predicted=LEGITIMATE
[1379/2200] Done: Predicted=LEGITIMATE
[1380/2200] Done: Predicted=PHISHING
[1381/2200] Done: Predicted=PHISHING
[1382/2200] Done: Predicted=LEGITIMATE
[1383/2200] Done: Predicted=LEGITIMATE
[1384/2200] Done: Predicted=PHISHING
[1385/2200] Done: Predicted=LEGITIMATE
[1386/2200] Done: Predicted=LEGITIMATE
[1387/2200] Done: Predicted=LEGITIMATE
[1388/2200] Done: Predicted=PHISHING
[1389/2200] Done: Predicted=PHISHING
[1390/2200] Done: Predicted=LEGITIMATE
[1391/2200] Done: Predicted=LEGITIMATE
[1392/2200] Done: Predicted=PHISHING
[1393/2200] Done: Predicted=LEGITIMATE
[1394/2200] Done: Predicted=PHISHING
[1395/2200] Done: Predicted=LEGITIMATE
[1396/2200] Done: Predicted=PHISHING
[1397/2200] Done: Predicted=PHISHING
[1398/2200] Done: Predicted=PHISHING
[1399/2200] Done: Predicted=PHISHING
[1400/2200] Done: Predicted=PHISHING
[1401/2200] Done: Predicted=PHISHING
[1402/2200] Done: Predicted=LEGITIMATE
[1403/2200] Done: Predicted=PHISHING
[1404/2200] Done: Predicted=PHISHING
[1405/2200] Done: Predicted=PHISHING
[1406/2200] Done: Predicted=LEGITIMATE
[1407/2200] Done: Predicted=PHISHING
[1408/2200] Done: Predicted=PHISHING
[1409/2200] Done: Predicted=PHISHING
[1410/2200] Done: Predicted=LEGITIMATE
[1411/2200] Done: Predicted=LEGITIMATE
[1412/2200] Done: Predicted=LEGITIMATE
[1413/2200] Done: Predicted=LEGITIMATE
[1414/2200] Done: Predicted=LEGITIMATE
[1415/2200] Done: Predicted=LEGITIMATE
[1416/2200] Done: Predicted=PHISHING
[1417/2200] Done: Predicted=LEGITIMATE
[1418/2200] Done: Predicted=PHISHING
[1419/2200] Done: Predicted=LEGITIMATE
[1420/2200] Done: Predicted=PHISHING
[1421/2200] Done: Predicted=LEGITIMATE
[1422/2200] Done: Predicted=PHISHING
[1423/2200] Done: Predicted=LEGITIMATE
[1424/2200] Done: Predicted=LEGITIMATE
[1425/2200] Done: Predicted=LEGITIMATE
[1426/2200] Done: Predicted=PHISHING
[1427/2200] Done: Predicted=PHISHING
[1428/2200] Done: Predicted=PHISHING
[1429/2200] Done: Predicted=LEGITIMATE
[1430/2200] Done: Predicted=LEGITIMATE
[1431/2200] Done: Predicted=LEGITIMATE
[1432/2200] Done: Predicted=LEGITIMATE
[1433/2200] Done: Predicted=None
[1434/2200] Done: Predicted=PHISHING
[1435/2200] Done: Predicted=LEGITIMATE
[1436/2200] Done: Predicted=LEGITIMATE
[1437/2200] Done: Predicted=LEGITIMATE
[1438/2200] Done: Predicted=LEGITIMATE
[1439/2200] Done: Predicted=LEGITIMATE
[1440/2200] Done: Predicted=PHISHING
[1441/2200] Done: Predicted=LEGITIMATE
[1442/2200] Done: Predicted=PHISHING
[1443/2200] Done: Predicted=PHISHING
[1444/2200] Done: Predicted=LEGITIMATE
[1445/2200] Done: Predicted=LEGITIMATE
[1446/2200] Done: Predicted=PHISHING
[1447/2200] Done: Predicted=LEGITIMATE
[1448/2200] Done: Predicted=PHISHING
[1449/2200] Done: Predicted=PHISHING
[1450/2200] Done: Predicted=LEGITIMATE
[1451/2200] Done: Predicted=PHISHING
[1452/2200] Done: Predicted=PHISHING
[1453/2200] Done: Predicted=None
[1454/2200] Done: Predicted=LEGITIMATE
[1455/2200] Done: Predicted=LEGITIMATE
[1456/2200] Done: Predicted=PHISHING
[1457/2200] Done: Predicted=PHISHING
[1458/2200] Done: Predicted=LEGITIMATE
[1459/2200] Done: Predicted=PHISHING
[1460/2200] Done: Predicted=LEGITIMATE
[1461/2200] Done: Predicted=PHISHING
[1462/2200] Done: Predicted=LEGITIMATE
[1463/2200] Done: Predicted=PHISHING
[1464/2200] Done: Predicted=PHISHING
[1465/2200] Done: Predicted=LEGITIMATE
[1466/2200] Done: Predicted=LEGITIMATE
[1467/2200] Done: Predicted=PHISHING
[1468/2200] Done: Predicted=PHISHING
[1469/2200] Done: Predicted=PHISHING
[1470/2200] Done: Predicted=PHISHING
[1471/2200] Done: Predicted=PHISHING
[1472/2200] Done: Predicted=PHISHING
[1473/2200] Done: Predicted=LEGITIMATE
[1474/2200] Done: Predicted=LEGITIMATE
[1475/2200] Done: Predicted=PHISHING
[1476/2200] Done: Predicted=LEGITIMATE
[1477/2200] Done: Predicted=PHISHING
[1478/2200] Done: Predicted=LEGITIMATE
[1479/2200] Done: Predicted=PHISHING
[1480/2200] Done: Predicted=LEGITIMATE
[1481/2200] Done: Predicted=PHISHING
[1482/2200] Done: Predicted=PHISHING
[1483/2200] Done: Predicted=PHISHING
[1484/2200] Done: Predicted=PHISHING
[1485/2200] Done: Predicted=PHISHING
[1486/2200] Done: Predicted=LEGITIMATE
[1487/2200] Done: Predicted=PHISHING
[1488/2200] Done: Predicted=PHISHING
[1489/2200] Done: Predicted=LEGITIMATE
[1490/2200] Done: Predicted=LEGITIMATE
[1491/2200] Done: Predicted=PHISHING
[1492/2200] Done: Predicted=PHISHING
[1493/2200] Done: Predicted=LEGITIMATE
[1494/2200] Done: Predicted=LEGITIMATE
[1495/2200] Done: Predicted=LEGITIMATE
[1496/2200] Done: Predicted=PHISHING
[1497/2200] Done: Predicted=LEGITIMATE
[1498/2200] Done: Predicted=LEGITIMATE
[1499/2200] Done: Predicted=LEGITIMATE
[1500/2200] Done: Predicted=PHISHING
[1501/2200] Done: Predicted=PHISHING
[1502/2200] Done: Predicted=PHISHING
[1503/2200] Done: Predicted=PHISHING
[1504/2200] Done: Predicted=PHISHING
[1505/2200] Done: Predicted=LEGITIMATE
[1506/2200] Done: Predicted=PHISHING
[1507/2200] Done: Predicted=PHISHING
[1508/2200] Done: Predicted=LEGITIMATE
[1509/2200] Done: Predicted=PHISHING
[1510/2200] Done: Predicted=PHISHING
[1511/2200] Done: Predicted=PHISHING
[1512/2200] Done: Predicted=PHISHING
[1513/2200] Done: Predicted=None
[1514/2200] Done: Predicted=LEGITIMATE
[1515/2200] Done: Predicted=LEGITIMATE
[1516/2200] Done: Predicted=PHISHING
[1517/2200] Done: Predicted=PHISHING
[1518/2200] Done: Predicted=PHISHING
[1519/2200] Done: Predicted=LEGITIMATE
[1520/2200] Done: Predicted=PHISHING
[1521/2200] Done: Predicted=PHISHING
[1522/2200] Done: Predicted=LEGITIMATE
[1523/2200] Done: Predicted=PHISHING
[1524/2200] Done: Predicted=PHISHING
[1525/2200] Done: Predicted=PHISHING
[1526/2200] Done: Predicted=LEGITIMATE
[1527/2200] Done: Predicted=PHISHING
[1528/2200] Done: Predicted=LEGITIMATE
[1529/2200] Done: Predicted=LEGITIMATE
[1530/2200] Done: Predicted=LEGITIMATE
[1531/2200] Done: Predicted=LEGITIMATE
[1532/2200] Done: Predicted=LEGITIMATE
[1533/2200] Done: Predicted=LEGITIMATE
[1534/2200] Done: Predicted=LEGITIMATE
[1535/2200] Done: Predicted=PHISHING
[1536/2200] Done: Predicted=PHISHING
[1537/2200] Done: Predicted=LEGITIMATE
[1538/2200] Done: Predicted=LEGITIMATE
[1539/2200] Done: Predicted=LEGITIMATE
[1540/2200] Done: Predicted=LEGITIMATE
[1541/2200] Done: Predicted=PHISHING
[1542/2200] Done: Predicted=LEGITIMATE
[1543/2200] Done: Predicted=LEGITIMATE
[1544/2200] Done: Predicted=PHISHING
[1545/2200] Done: Predicted=LEGITIMATE
[1546/2200] Done: Predicted=PHISHING
[1547/2200] Done: Predicted=PHISHING
[1548/2200] Done: Predicted=PHISHING
[1549/2200] Done: Predicted=PHISHING
[1550/2200] Done: Predicted=LEGITIMATE
[1551/2200] Done: Predicted=LEGITIMATE
[1552/2200] Done: Predicted=LEGITIMATE
[1553/2200] Done: Predicted=PHISHING
[1554/2200] Done: Predicted=PHISHING
[1555/2200] Done: Predicted=PHISHING
[1556/2200] Done: Predicted=LEGITIMATE
[1557/2200] Done: Predicted=LEGITIMATE
[1558/2200] Done: Predicted=LEGITIMATE
[1559/2200] Done: Predicted=PHISHING
[1560/2200] Done: Predicted=PHISHING
[1561/2200] Done: Predicted=LEGITIMATE
[1562/2200] Done: Predicted=PHISHING
[1563/2200] Done: Predicted=LEGITIMATE
[1564/2200] Done: Predicted=LEGITIMATE
[1565/2200] Done: Predicted=LEGITIMATE
[1566/2200] Done: Predicted=PHISHING
[1567/2200] Done: Predicted=PHISHING
[1568/2200] Done: Predicted=LEGITIMATE
[1569/2200] Done: Predicted=LEGITIMATE
[1570/2200] Done: Predicted=PHISHING
[1571/2200] Done: Predicted=LEGITIMATE
[1572/2200] Done: Predicted=LEGITIMATE
[1573/2200] Done: Predicted=PHISHING
[1574/2200] Done: Predicted=LEGITIMATE
[1575/2200] Done: Predicted=PHISHING
[1576/2200] Done: Predicted=LEGITIMATE
[1577/2200] Done: Predicted=LEGITIMATE
[1578/2200] Done: Predicted=PHISHING
[1579/2200] Done: Predicted=PHISHING
[1580/2200] Done: Predicted=LEGITIMATE
[1581/2200] Done: Predicted=PHISHING
[1582/2200] Done: Predicted=LEGITIMATE
[1583/2200] Done: Predicted=PHISHING
[1584/2200] Done: Predicted=LEGITIMATE
[1585/2200] Done: Predicted=PHISHING
[1586/2200] Done: Predicted=PHISHING
[1587/2200] Done: Predicted=LEGITIMATE
[1588/2200] Done: Predicted=PHISHING
[1589/2200] Done: Predicted=LEGITIMATE
[1590/2200] Done: Predicted=LEGITIMATE
[1591/2200] Done: Predicted=PHISHING
[1592/2200] Done: Predicted=PHISHING
[1593/2200] Done: Predicted=LEGITIMATE
[1594/2200] Done: Predicted=LEGITIMATE
[1595/2200] Done: Predicted=PHISHING
[1596/2200] Done: Predicted=LEGITIMATE
[1597/2200] Done: Predicted=LEGITIMATE
[1598/2200] Done: Predicted=PHISHING
[1599/2200] Done: Predicted=LEGITIMATE
[1600/2200] Done: Predicted=LEGITIMATE
[1601/2200] Done: Predicted=PHISHING
[1602/2200] Done: Predicted=PHISHING
[1603/2200] Done: Predicted=PHISHING
[1604/2200] Done: Predicted=LEGITIMATE
[1605/2200] Done: Predicted=PHISHING
[1606/2200] Done: Predicted=LEGITIMATE
[1607/2200] Done: Predicted=LEGITIMATE
[1608/2200] Done: Predicted=LEGITIMATE
[1609/2200] Done: Predicted=LEGITIMATE
[1610/2200] Done: Predicted=LEGITIMATE
[1611/2200] Done: Predicted=LEGITIMATE
[1612/2200] Done: Predicted=LEGITIMATE
[1613/2200] Done: Predicted=LEGITIMATE
[1614/2200] Done: Predicted=LEGITIMATE
[1615/2200] Done: Predicted=PHISHING
[1616/2200] Done: Predicted=LEGITIMATE
[1617/2200] Done: Predicted=PHISHING
[1618/2200] Done: Predicted=LEGITIMATE
[1619/2200] Done: Predicted=LEGITIMATE
